x,y
40.362,137500
40.686,132500
38.43,93000
36.822,96500
37.002,100500
35.106,97500
35.016,97500
36.762,102000
38.844,99000
37.374,97000
37.17,108500
40.29,114000
35.478,94000
36.552,93500
37.524,92500
35.568,91500
37.056,106000
36.126,96000
35.232,102000
34.386,96500
35.22,110000
36.024,101500
35.766,102500
35.136,86500
35.274,94000
35.916,107000
33.678,78500
34.158,81000
38.586,90000
33.822,71500
38.748,96000
37.956,98000
38.232,115000
34.932,92000
34.542,78000
38.01,90500
35.652,87000
38.724,85500
35.142,66500
36.906,89000
37.044,70000
30.114,72000
32.418,67000
32.808,78000
29.418,59000
36.78,69000
33.768,78000
29.556,73000
31.116,89000
33.582,77000
36.732,107500
32.424,98000
30.072,76500
34.254,97000
36.774,85000
36.912,78000
31.632,65500
41.658,206500
36.396,121500
39.06,116500
37.5,135000
44.934,250000
46.812,250000
50.25,250000
35.124,113500
36.606,125000
47.574,250000
35.262,119000
37.914,119000
38.412,111500
35.25,87000
35.28,95500
33.432,115500
38.496,118000
35.154,113000
39.276,147000
36.12,116000
37.89,123000
41.16,149500
41.88,186000
46.59,199000
36.864,181000
42.93,189500
39.378,162500
33.624,132000
36.918,148000
46.986,250000
40.692,160000
39.336,149000
43.11,174500
41.706,185000
40.434,152500
43.068,182000
40.8,155500
39.624,145500
47.25,250000
43.722,166500
42.642,151500
43.644,173000
41.85,174500